Account_Owner__c,Amount,Area__c,BigMachines__Line_Items__c,CloseDate,Country__c,CreatedById,CreatedDate,Currency_Rate__c,CurrencyIsoCode,Days_Until_Modified__c,Duration_at_Stage1__c,Duration_at_Stage2__c,Earliest_Delivery_Commence_Date__c,Eligible_for_Fast_Track__c,HasOpportunityLineItem,Id,IsWon,LastModifiedDate,LoB_Services__c,Pricebook2Id,Retail__c,Stage_Change_Date__c,Sub_Area__c,WNC_Region__c
331,,13,0,333,30,590,54,1.0,30,-519.0,89,0,1080,0,0,35529,0,965,0,2,0,248,10,0
334,23000.0,22,2,30,139,493,55,1.0,30,-503.0,0,0,71,0,1,35530,1,676,0,1,0,27,45,0
432,900.0,13,1,45,51,592,56,1.0,30,-576.0,0,0,73,0,1,35531,1,2340,0,1,0,187,10,0
230,26000.0,13,3,418,103,323,57,1.0,30,-477.0,0,64,790,1,1,35532,1,968,0,1,0,325,10,0
8,240000.0,22,3,48,139,14,58,1.0,30,-576.0,0,0,966,0,1,35533,1,756,0,1,0,43,45,0
383,8000.0,22,1,61,139,486,59,1.0,30,-294.0,0,0,77,0,1,35534,0,695,0,1,0,88,45,0
285,15133.0,19,1,284,78,372,60,1.0,30,-175.0,82,212,802,0,1,35535,1,1281,0,0,1,204,35,1
447,7800428.9,0,4,99,56,609,61,1.0,30,-327.0,0,225,300,0,1,35536,0,3821,0,1,0,85,21,1
447,40528.0,0,2,646,56,609,62,1.0,30,-370.0,0,0,223,0,1,35537,0,4543,0,1,0,539,21,1
290,10036.0,5,1,21,123,435,63,0.8930170000000001,9,-590.0,0,0,372,0,1,35538,1,4244,0,1,0,19,39,1
290,26056.0,5,2,12,123,435,64,0.8901549999999999,9,-594.0,0,0,339,1,1,35539,1,4244,0,1,0,11,39,1
290,10036.0,5,1,12,123,435,65,0.8930170000000001,9,-594.0,0,0,408,1,1,35540,1,4244,0,1,0,11,39,1
290,10350.0,5,2,21,123,435,66,0.8901549999999999,9,-590.0,0,0,339,0,1,35541,1,4244,0,1,0,19,39,1
290,16356.0,5,1,21,123,435,67,0.9048139999999999,9,-590.0,0,0,339,0,1,35542,1,4244,0,1,0,19,39,1
290,24600.0,5,1,21,123,435,68,0.8901549999999999,9,-590.0,0,0,339,0,1,35543,1,4244,0,1,0,19,39,1
290,30780.0,5,1,21,123,435,69,0.9048139999999999,9,-590.0,0,0,339,0,1,35544,1,4244,0,1,0,19,39,1
290,19109.0,5,1,21,123,435,70,0.8930170000000001,9,-590.0,0,0,536,0,1,35545,1,4244,0,1,0,19,39,1
227,57600.0,21,1,452,60,111,71,0.9194559999999999,9,-461.0,0,0,799,1,1,35546,1,3275,1,0,1,358,23,1
134,180000.0,8,1,314,120,174,72,0.9109959999999999,9,-527.0,0,80,1010,0,1,35547,0,1583,0,0,1,230,8,1
16,38449.92,5,1,2,60,27,73,0.8901549999999999,9,-600.0,0,4,467,1,1,35548,1,446,0,1,0,1,24,1
248,127869.0,23,2,43,12,424,74,0.910581,9,-607.0,0,0,372,1,1,35549,1,2049,1,1,0,39,6,1
86,2444.0,21,1,228,60,111,75,0.9048139999999999,9,-567.0,0,0,361,1,1,35550,1,3067,1,0,1,153,23,1
16,15584.0,5,1,225,60,27,76,0.9048139999999999,9,-568.0,0,38,508,1,1,35551,1,446,0,1,0,151,24,1
134,150000.0,8,1,509,120,174,77,0.8979889999999999,9,-435.0,0,172,136,0,1,35552,0,1583,0,0,1,410,8,1
26,391400.0,0,1,106,143,616,78,1.0,30,-331.0,61,0,231,0,1,35553,1,4039,0,1,0,82,20,1
121,43250.0,8,2,526,120,151,79,0.8979889999999999,9,-428.0,0,0,810,1,1,35554,1,1094,0,0,1,426,8,1
121,43250.0,8,2,683,120,151,80,0.8930170000000001,9,-350.0,0,0,295,1,1,35555,1,1094,0,0,1,569,8,1
121,118950.0,8,6,331,120,151,81,0.8250139999999999,9,-155.0,0,0,648,1,1,35556,1,1495,0,0,1,247,8,1
121,90000.0,8,4,238,120,151,82,0.9048139999999999,9,-562.0,0,0,504,1,1,35557,1,1629,0,0,1,161,8,1
134,104888.0,8,6,600,120,174,83,0.81960495,9,-58.0,0,214,911,1,1,35558,1,1925,0,0,1,493,8,1
121,120000.0,8,1,305,120,151,84,0.8930170000000001,9,-183.0,0,424,558,0,1,35559,0,1629,0,0,1,223,8,1
134,122800.0,8,5,258,120,151,85,0.9048139999999999,9,-553.0,0,0,604,1,1,35560,1,1583,0,0,1,180,8,1
134,122800.0,8,5,128,120,151,86,0.8930170000000001,9,-289.0,0,318,36,0,1,35561,0,1583,0,0,1,93,8,1
134,122800.0,8,5,128,120,151,87,0.8930170000000001,9,-289.0,0,318,203,0,1,35562,0,1583,0,0,1,93,8,1
121,22800.0,8,3,392,120,151,88,0.9109959999999999,9,-516.0,0,0,604,1,1,35563,1,2290,0,0,1,303,8,1
121,57000.0,8,3,282,120,151,89,0.8930170000000001,9,-184.0,0,375,556,1,1,35564,0,2290,0,0,1,202,8,1
334,150000.0,22,2,48,139,493,90,1.0,30,-576.0,0,0,254,0,1,35565,0,2656,0,1,0,187,45,0
134,50000.0,8,1,395,120,151,91,0.8930170000000001,9,-183.0,0,424,725,0,1,35566,0,1925,0,0,1,223,8,1
334,150000.0,22,2,262,139,493,92,1.0,30,-551.0,0,0,254,0,1,35567,0,2656,0,1,0,184,45,0
334,150000.0,22,2,333,139,493,93,1.0,30,-512.0,0,0,254,0,1,35568,0,2660,0,1,0,313,45,0
358,12920.0,22,1,10,139,510,94,1.0,30,-595.0,0,0,604,0,1,35569,1,180,0,1,0,9,45,0
348,7500.0,22,1,48,139,493,95,1.0,30,-576.0,0,0,339,0,1,35570,0,933,0,1,0,187,45,0
134,49500.0,8,1,395,120,174,96,0.8250139999999999,9,-166.0,0,441,745,0,1,35571,0,1583,0,0,1,221,8,1
348,7500.0,22,1,262,139,493,97,1.0,30,-551.0,0,0,435,0,1,35572,0,933,0,1,0,184,45,0
134,66000.0,8,1,490,120,174,98,0.8250139999999999,9,-166.0,0,441,823,0,1,35573,0,1583,0,0,1,221,8,1
366,50000.0,22,1,48,139,493,99,1.0,30,-569.0,0,0,339,0,1,35574,0,749,0,1,0,149,45,0
85,760000.0,8,1,466,34,174,100,0.9194559999999999,9,-484.0,0,123,659,0,1,35575,0,25,0,0,1,370,8,1
384,13000.0,22,1,40,139,541,101,1.0,30,-581.0,0,0,77,0,1,35576,1,559,0,1,0,37,45,0
366,50000.0,22,1,265,139,493,102,1.0,30,-551.0,0,0,435,0,1,35577,0,749,0,1,0,184,45,0
366,50000.0,22,1,333,139,493,103,1.0,30,-512.0,0,0,536,0,1,35578,0,749,0,1,0,313,45,0
85,760000.0,8,1,466,34,174,104,0.9194559999999999,9,-484.0,0,123,753,0,1,35579,0,25,0,0,1,370,8,1
337,50000.0,22,1,90,139,489,105,1.0,30,-310.0,0,0,298,1,1,35580,0,4428,0,1,0,73,45,0
134,450000.0,8,1,667,120,151,106,0.8930170000000001,9,-260.0,0,347,305,0,1,35581,0,1925,0,0,1,122,8,1
337,8400.0,22,1,45,139,489,107,1.0,30,-581.0,0,0,508,1,1,35582,1,502,0,1,0,41,45,0
316,76000.0,23,1,392,44,454,108,0.9109959999999999,9,-516.0,0,0,604,1,1,35583,1,1692,0,1,0,303,13,1
334,520000.0,22,1,262,139,551,109,1.0,30,-534.0,0,0,604,0,1,35584,1,3643,0,1,0,184,45,0
426,100000.0,18,1,132,38,596,110,1.0,30,-287.0,0,3,273,1,1,35585,0,2345,0,1,0,95,37,0
15,54800.0,6,3,8,46,26,111,0.8901549999999999,9,-596.0,0,0,691,0,1,35586,1,2456,0,1,0,7,14,1
352,4.0,22,1,43,139,549,112,1.0,30,-607.0,0,0,77,0,1,35587,1,2484,0,1,0,39,45,0
426,200000.0,18,1,402,38,596,113,1.0,30,-513.0,0,0,891,0,1,35588,0,4395,0,1,0,311,37,0
334,6790.15,17,2,43,25,271,114,1.3307229999999999,2,-607.0,0,0,73,1,1,35589,1,2431,1,0,1,39,9,0
334,6790.15,17,2,43,25,271,115,1.3307229999999999,2,-607.0,0,0,73,1,1,35590,1,2830,1,0,1,39,9,0
341,8500.0,22,1,230,139,439,116,1.0,30,-566.0,0,0,700,0,1,35591,1,661,0,1,0,155,45,0
386,9835.0,22,1,55,139,605,117,1.0,30,-604.0,0,0,471,0,1,35592,1,3972,0,1,0,48,45,0
334,29587.0,22,1,406,139,527,118,1.0,30,-147.0,0,0,701,0,1,35593,1,816,0,1,0,314,45,0
334,11509.26,17,2,59,25,271,119,1.299448,2,-602.0,0,0,73,1,1,35594,1,3059,1,0,1,52,9,0
334,30700.0,22,1,55,139,487,120,1.0,30,-516.0,0,0,518,0,1,35595,1,805,0,1,0,48,45,0
225,5000.0,22,1,371,139,318,121,1.0,30,-152.0,96,205,876,1,1,35596,0,762,0,1,0,283,45,0
395,5200.0,22,4,45,139,550,122,1.0,30,-581.0,0,0,977,0,1,35597,1,1482,0,1,0,41,45,0
394,35000.0,22,2,343,139,554,123,1.0,30,-544.0,0,0,617,0,1,35598,0,2617,0,1,0,254,45,0
229,19129.66,17,2,43,139,270,124,1.0,30,-583.0,0,0,58,1,1,35599,1,3145,1,0,1,39,45,0
229,18567.16,17,2,43,139,270,125,1.0,30,-519.0,0,0,64,1,1,35600,1,3145,1,0,1,39,45,0
229,20442.16,17,2,43,139,270,126,1.0,30,-519.0,0,0,77,1,1,35601,1,3145,1,0,1,39,45,0
229,19129.66,17,2,43,139,270,127,1.0,30,-519.0,0,0,412,1,1,35602,1,3145,1,0,1,39,45,0
229,18567.16,17,2,43,139,270,128,1.0,30,-519.0,0,0,424,1,1,35603,1,3145,1,0,1,39,45,0
229,10144.33,17,2,59,139,270,129,1.0,30,-519.0,0,0,424,1,1,35604,1,3145,1,0,1,52,45,0
229,10144.33,17,2,43,139,270,130,1.0,30,-519.0,0,0,424,1,1,35605,1,3145,1,0,1,39,45,0
394,29301.0,22,7,562,139,554,131,1.0,30,-410.0,0,0,835,0,1,35606,0,2617,0,1,0,458,45,0
229,18567.16,17,2,43,139,289,132,1.0,30,-519.0,0,0,408,1,1,35607,1,3145,1,0,1,39,45,0
229,18567.16,17,2,43,139,289,133,1.0,30,-519.0,0,0,408,1,1,35608,1,3145,1,0,1,39,45,0
229,19129.66,17,2,55,139,289,134,1.0,30,-519.0,0,0,408,1,1,35609,1,3145,1,0,1,48,45,0
319,80000.0,22,2,8,139,635,135,1.0,30,-596.0,0,0,408,1,1,35610,1,4457,0,1,0,7,45,0
229,18567.16,17,2,43,139,289,136,1.0,30,-519.0,0,0,408,1,1,35611,1,3145,1,0,1,39,45,0
229,18567.16,17,2,43,139,289,137,1.0,30,-519.0,0,0,408,1,1,35612,1,3145,1,0,1,39,45,0
229,18567.16,17,2,55,139,289,138,1.0,30,-519.0,0,0,408,1,1,35613,1,3145,1,0,1,48,45,0
229,18567.16,17,2,55,139,289,139,1.0,30,-519.0,0,0,408,1,1,35614,1,3145,1,0,1,48,45,0
229,10144.33,17,2,55,139,289,140,1.0,30,-519.0,0,0,408,1,1,35615,1,3145,1,0,1,48,45,0
229,18567.16,17,2,55,139,289,141,1.0,30,-519.0,0,0,408,1,1,35616,1,3145,1,0,1,48,45,0
13,0.0,12,1,99,84,305,142,1.0,30,-306.0,117,114,978,0,1,35617,0,141,0,1,1,78,25,0
392,6311.25,18,1,183,15,552,143,1.0,30,-604.0,0,0,73,1,1,35618,1,959,0,1,0,48,1,0
457,3000.0,22,1,96,139,324,144,1.0,30,-183.0,0,300,309,0,1,35619,0,2366,0,1,0,76,45,0
334,95.0,22,1,12,139,539,145,1.0,30,-594.0,0,0,407,0,1,35620,1,894,0,1,0,11,45,0
13,60000.0,12,1,57,84,305,146,1.0,30,-603.0,0,0,401,1,1,35621,1,607,0,0,1,50,25,0
334,68198.66,17,2,55,25,289,147,1.299448,2,-604.0,0,0,408,1,1,35622,1,2821,1,0,1,48,9,0
392,145169.5,18,1,183,110,552,148,1.0,30,-604.0,0,0,421,1,1,35623,1,769,0,1,0,48,1,0
357,574915.0,22,3,260,139,509,149,1.0,30,-454.0,0,32,703,0,1,35624,1,4492,0,1,0,182,45,0
357,288555.0,22,2,260,139,509,150,1.0,30,-302.0,0,17,691,0,1,35625,1,757,0,1,0,182,45,0
334,71026.16,18,2,199,50,552,151,1.0,30,-604.0,0,0,64,1,1,35626,1,2277,0,1,0,48,1,0
363,21000.0,22,1,30,139,515,152,1.0,30,-586.0,0,5,790,0,1,35627,1,821,0,1,0,27,45,0
456,57800.0,16,1,439,101,622,153,0.9194559999999999,9,-468.0,0,79,929,0,1,35628,1,246,0,1,0,345,26,1
169,70000.0,6,1,270,46,57,154,0.8901549999999999,9,-574.0,0,0,614,1,1,35629,1,4111,0,1,0,191,14,1
241,43000.0,6,2,30,46,57,155,0.8901549999999999,9,-583.0,0,0,501,1,1,35630,1,4092,0,1,0,33,14,1
241,25000.0,6,1,30,46,57,156,0.8901549999999999,9,-583.0,0,21,601,1,1,35631,1,4092,0,1,0,33,14,1
392,7683104.18,18,4,165,110,552,157,1.0,30,-296.0,0,323,362,0,1,35632,0,769,0,1,0,115,1,0
392,9500.0,18,1,197,110,552,158,1.0,30,-604.0,0,0,408,1,1,35633,1,769,0,1,0,48,1,0
392,65505.0,18,1,197,110,552,159,1.0,30,-604.0,0,0,416,1,1,35634,1,769,0,1,0,48,1,0
384,500.0,22,1,55,139,541,160,1.0,30,-604.0,0,0,408,0,1,35635,1,666,0,1,0,48,45,0
100,122570.84,14,2,21,116,126,161,1.0,30,-517.0,0,0,492,0,1,35636,1,2253,0,0,1,282,26,1
471,125000.0,0,1,709,124,636,162,1.0,30,-334.0,0,241,318,1,1,35637,1,55,0,1,0,66,20,1
237,33614.73,2,1,275,5,333,163,1.459546,0,-573.0,0,0,508,1,1,35638,1,3282,1,0,1,195,3,1
392,19197.2,18,2,180,110,552,164,1.0,30,-604.0,0,0,348,1,1,35639,1,769,0,1,0,48,1,0
269,340625.04,0,1,492,107,608,165,1.0,30,-443.0,0,0,929,0,1,35640,0,3474,1,1,0,394,34,1
392,8044.4,18,1,206,110,552,166,1.0,30,-604.0,0,0,364,1,1,35641,1,769,0,1,0,48,1,0
471,108300.0,0,2,55,91,636,167,1.0,30,-486.0,0,0,604,1,1,35642,1,450,0,1,0,54,20,1
250,10270.0,9,1,53,52,351,168,7.826808,11,-605.0,0,0,508,1,1,35643,1,1515,0,0,1,46,15,1
250,17335.84,9,5,53,52,351,169,7.826808,11,-605.0,0,0,401,1,1,35644,1,1334,0,0,1,46,15,1
288,3735.0,19,1,27,119,191,170,1.397392,25,-587.0,0,0,401,1,1,35645,1,2948,1,0,1,25,35,1
53,,0,0,710,129,74,171,29.498659999999997,28,-328.0,276,0,1080,0,0,35646,0,1604,0,2,0,84,41,1
471,14250.0,0,1,489,124,636,172,1.0,30,-443.0,0,0,973,1,1,35647,1,449,0,1,0,392,20,1
471,989285.0,0,5,349,23,636,173,1.0,30,-486.0,0,0,924,0,1,35648,1,101,0,1,0,261,20,1
298,145120.8,0,7,416,90,31,174,1.0,30,-478.0,0,126,977,0,1,35649,1,2611,0,1,0,323,20,1
471,370000.0,0,3,492,23,636,175,1.0,30,-302.0,0,0,950,0,1,35650,1,101,0,1,0,108,20,1
471,387250.0,0,2,532,23,636,176,1.0,30,-303.0,0,0,1022,0,1,35651,1,101,0,1,0,108,20,1
298,64780.0,0,1,320,90,31,177,1.0,30,-486.0,0,57,790,0,1,35652,1,1281,0,1,0,236,20,1
471,41800.0,0,1,617,23,636,178,1.0,30,-385.0,176,23,300,1,1,35653,1,450,0,1,0,510,20,1
275,90000.0,0,1,154,78,338,179,1.0,30,-302.0,15,251,234,1,1,35654,0,3825,0,1,0,108,34,1
471,14152.0,0,1,660,23,636,180,1.0,30,-394.0,0,118,237,1,1,35655,1,450,0,1,0,551,20,1
471,66000.0,0,2,207,23,636,181,1.0,30,-194.0,0,216,978,1,1,35656,1,1193,0,1,0,45,20,1
94,92027.0,0,2,582,78,338,182,1.0,30,-401.0,0,170,881,1,1,35657,1,1868,0,1,0,478,34,1
94,80000.0,0,3,210,78,338,183,1.0,30,-304.0,1,300,468,0,1,35658,0,398,0,1,0,97,34,1
275,21813.0,0,2,582,78,338,184,1.0,30,-401.0,31,139,962,1,1,35659,1,3824,0,1,0,478,34,1
94,100000.0,0,3,135,78,338,185,1.0,30,-304.0,1,300,468,0,1,35660,0,398,0,1,0,97,34,1
94,80000.0,0,3,135,78,338,186,1.0,30,-304.0,56,245,36,0,1,35661,0,398,0,1,0,97,34,1
195,19584.0,16,1,338,122,256,187,0.9048139999999999,9,-546.0,0,0,601,1,1,35662,0,3752,0,1,0,250,36,1
102,5422.0,6,1,55,46,128,188,0.8901549999999999,9,-604.0,0,0,77,1,1,35663,1,3893,1,1,0,48,14,1
256,,5,0,121,134,360,189,1.0,30,-293.0,0,311,1080,0,0,35664,0,4336,0,2,0,89,43,1
242,774108.0,0,1,268,55,341,190,71.9,14,-575.0,0,0,358,0,1,35665,1,2059,1,1,0,189,19,1
253,167980.74,15,1,260,138,358,191,0.814815,10,-356.0,0,0,398,0,1,35666,1,4209,1,0,1,564,44,1
300,2729592.0,0,2,333,52,332,192,7.750313,11,-514.0,0,0,536,1,1,35667,1,2126,1,1,0,309,20,1
212,70000.0,15,1,236,138,301,193,0.761627,10,-563.0,41,0,457,0,1,35668,0,4057,0,0,1,159,44,1
456,12500.0,16,1,683,101,622,194,0.8930170000000001,9,-350.0,0,63,87,0,1,35669,1,246,0,1,0,569,26,1
456,44450.0,16,1,370,101,622,195,1.0,30,-517.0,0,66,829,0,1,35670,1,4339,0,1,0,282,26,1
91,0.0,8,0,304,34,422,196,0.9048139999999999,9,-548.0,0,23,1080,0,0,35671,0,1545,0,0,1,222,8,1
206,37200000.0,3,1,539,19,587,197,5.356861,1,-450.0,0,154,803,0,1,35672,0,2931,1,1,0,436,7,0
424,756630.0,3,1,454,19,586,198,5.384792,1,-460.0,0,0,790,1,1,35673,1,985,0,1,0,360,7,0
471,35000.0,0,1,322,23,636,199,1.0,30,-279.0,0,0,734,1,1,35674,0,101,0,1,0,104,20,1
162,19640.0,6,1,61,46,216,200,0.8901549999999999,9,-601.0,0,0,401,1,1,35675,1,4551,1,1,0,54,14,1
162,6475.0,6,1,57,46,216,201,0.8901549999999999,9,-603.0,0,0,401,1,1,35676,1,2058,1,1,0,50,14,1
264,,0,0,105,131,373,202,30.919807000000002,26,-331.0,0,71,1080,0,0,35677,0,418,0,2,0,81,42,1
162,8415.0,6,1,59,46,216,203,0.8901549999999999,9,-602.0,0,0,401,1,1,35678,1,4101,1,1,0,52,14,1
198,79050.0,16,2,695,138,185,204,0.814815,10,-344.0,0,0,113,1,1,35679,1,3020,0,1,0,576,44,1
102,61460.0,6,2,10,46,128,205,0.8901549999999999,9,-595.0,0,0,604,1,1,35680,1,3901,0,1,0,9,14,1
384,47000.0,22,1,57,139,541,206,1.0,30,-603.0,0,0,444,0,1,35681,1,2524,0,1,0,50,45,0
198,60000.0,16,1,333,138,185,207,0.777216,10,-519.0,0,23,508,1,1,35682,0,3008,1,1,0,248,44,1
384,47700.0,22,1,57,139,541,208,1.0,30,-603.0,0,0,444,0,1,35683,1,2524,0,1,0,50,45,0
334,7500.0,22,1,330,139,643,209,1.0,30,-520.0,0,0,237,0,1,35684,0,2778,0,1,0,246,45,0
384,47700.0,22,1,59,139,541,210,1.0,30,-602.0,0,0,444,0,1,35685,1,2524,0,1,0,52,45,0
76,122000.0,6,2,304,46,131,211,0.9048139999999999,9,-548.0,0,0,684,1,1,35686,1,2153,1,1,0,222,14,1
385,9500.0,22,2,389,139,542,212,1.0,30,-490.0,0,0,737,0,1,35687,1,911,0,1,0,301,45,0
147,17500.0,6,1,445,46,131,213,0.9194559999999999,9,-464.0,0,0,467,1,1,35688,1,1781,0,1,0,352,14,1
225,35200.0,22,1,672,139,318,214,1.0,30,-365.0,93,146,998,1,1,35689,0,652,0,1,0,562,45,0
204,2.56,16,1,265,138,185,215,0.761627,10,-548.0,0,0,435,1,1,35690,1,3000,0,1,0,222,44,1
334,11509.26,17,2,55,25,271,216,1.299448,2,-604.0,0,0,73,1,1,35691,1,3292,1,0,1,48,9,0
229,,17,0,657,139,270,217,1.0,30,-357.0,0,0,1080,0,0,35692,1,3145,1,2,1,591,45,0
294,51200.0,17,2,660,25,272,218,1.368459,2,-393.0,0,0,155,0,1,35693,0,2035,0,0,1,551,9,0
334,40330.0,22,4,59,139,3,219,1.0,30,-602.0,0,0,508,0,1,35694,1,4248,0,1,0,52,45,0
167,4445.0,15,2,238,138,441,220,0.761627,10,-562.0,0,0,449,0,1,35695,1,3807,0,0,1,161,44,1
